              Procedure           Image            Address        Calls Instructions
             calloc@plt ld-linux-x86-64.so.2       7f60347bdec0           17           17
             malloc@plt ld-linux-x86-64.so.2       7f60347bdea0           38           38
_dl_catch_exception@plt ld-linux-x86-64.so.2       7f60347bde90           13           13
                  _fini              ls       55a72216536c            1            3
                  .text              ls       55a722152e90            1        37512
               .plt.got              ls       55a722152e70            4           29
       __cxa_atexit@plt              ls       55a722152d70            1            1
          setlocale@plt              ls       55a722152cc0            1            1
            realloc@plt              ls       55a722152c90            1            1
    fwrite_unlocked@plt              ls       55a722152c80           16           16
         __freading@plt              ls       55a722152c70            4            4
            strcoll@plt              ls       55a722152c50           48           48
             fflush@plt              ls       55a722152c10            2            2
            readdir@plt              ls       55a722152bf0           19           19
             fileno@plt              ls       55a722152bc0            2            2
             memcpy@plt              ls       55a722152b80           28           28
            _setjmp@plt              ls       55a722152ae0            1            1
           closedir@plt              ls       55a722152ac0            1            1
              ioctl@plt              ls       55a722152a80            1            1
            strrchr@plt              ls       55a7221529e0            1            1
         __overflow@plt              ls       55a7221529d0           40           40
        getopt_long@plt              ls       55a722152980            1            1
             strlen@plt              ls       55a722152950           81           81
__ctype_get_mb_cur_max@plt              ls       55a722152940           80           80
     bindtextdomain@plt              ls       55a722152920            1            1
            opendir@plt              ls       55a722152900            1            1
             fclose@plt              ls       55a7221528f0            2            2
         textdomain@plt              ls       55a7221528e0            1            1
             isatty@plt              ls       55a722152850            1            1
         __fpending@plt              ls       55a722152840            2            2
   __errno_location@plt              ls       55a7221527f0           67           67
             getenv@plt              ls       55a7221527a0            9            9
                  _init              ls       55a722152758            1            6
